ID,TIED,PLACE,STATE,ID_MEDALLA,ID_OLIMPIADA,ID_EVENTO
223,True,17.0,COMPLETED,1,5,4
224,True,33.0,COMPLETED,1,6,4
225,False,4.0,COMPLETED,1,2,1
226,False,1.0,COMPLETED,4,2,2
227,True,33.0,COMPLETED,1,4,1
228,False,1.0,COMPLETED,1,13,36
229,False,1.0,COMPLETED,4,14,26
230,True,3.0,COMPLETED,2,14,27
231,False,2.0,COMPLETED,3,5,26
232,True,9.0,COMPLETED,1,5,27
233,True,9.0,COMPLETED,1,14,26
234,True,5.0,COMPLETED,1,5,26
235,True,9.0,COMPLETED,1,3,26
236,False,2.0,COMPLETED,3,1,26
237,False,1.0,COMPLETED,4,1,3
238,True,9.0,COMPLETED,1,14,31
239,True,9.0,COMPLETED,1,14,32
240,True,17.0,COMPLETED,1,3,31
241,True,9.0,COMPLETED,1,3,32
242,True,25.0,COMPLETED,1,14,31
243,True,9.0,COMPLETED,1,5,26
244,True,9.0,COMPLETED,1,6,32
245,True,17.0,COMPLETED,1,7,31
246,True,17.0,COMPLETED,1,7,32
247,True,33.0,COMPLETED,1,8,31
248,True,9.0,COMPLETED,1,8,37
249,True,17.0,COMPLETED,1,6,31
250,True,9.0,COMPLETED,1,6,28
251,True,5.0,COMPLETED,1,3,31
252,True,33.0,COMPLETED,1,7,31
253,True,33.0,COMPLETED,1,5,33
254,True,9.0,COMPLETED,1,5,1
255,False,1.0,COMPLETED,4,5,2
256,True,21.0,COMPLETED,1,14,5
257,False,2.0,COMPLETED,3,5,5
258,False,4.0,COMPLETED,1,3,5
259,True,17.0,COMPLETED,1,5,34
260,False,2.0,COMPLETED,3,11,1
261,True,7.0,COMPLETED,1,11,2
262,False,3.0,COMPLETED,2,3,2
263,True,9.0,COMPLETED,1,15,1
264,True,9.0,COMPLETED,1,15,19
265,True,9.0,COMPLETED,1,15,2
266,True,5.0,COMPLETED,1,15,38
267,True,9.0,COMPLETED,1,3,34
268,True,17.0,COMPLETED,1,6,34
269,True,5.0,COMPLETED,1,1,1
270,True,5.0,COMPLETED,1,1,2
271,True,33.0,COMPLETED,1,14,1
272,True,9.0,COMPLETED,1,6,29
273,True,16.0,COMPLETED,1,11,1
274,True,11.0,COMPLETED,1,11,2
275,False,3.0,COMPLETED,2,1,1
276,False,,DNS,1,1,3
277,True,48.0,COMPLETED,1,1,1
278,True,5.0,COMPLETED,1,6,2
279,False,5.0,COMPLETED,1,11,39
280,False,,COMPLETED,1,11,40
281,True,26.0,COMPLETED,1,11,41
282,True,11.0,COMPLETED,1,11,42
283,True,5.0,COMPLETED,1,5,4
284,False,3.0,COMPLETED,2,3,4
285,True,5.0,COMPLETED,1,6,4
286,True,17.0,COMPLETED,1,6,5
287,True,17.0,COMPLETED,1,7,5
288,True,9.0,COMPLETED,1,1,1
289,True,9.0,COMPLETED,1,1,2
290,True,5.0,COMPLETED,1,14,1
291,False,3.0,COMPLETED,1,12,43
292,False,,DNS,1,12,44
293,False,3.0,COMPLETED,1,12,45
294,False,,DNS,1,12,46
295,False,,DNS,1,12,47
296,False,,DNS,1,12,48
297,False,,DNS,1,12,49
298,False,,DNS,1,12,50
299,False,,COMPLETED,1,12,51
300,True,8.0,COMPLETED,1,12,52
301,False,1.0,COMPLETED,4,12,53
302,True,49.0,COMPLETED,1,5,31
303,True,25.0,COMPLETED,1,5,32
304,True,41.0,COMPLETED,1,14,31
305,True,25.0,COMPLETED,1,3,5
306,True,17.0,COMPLETED,1,3,27
307,True,17.0,COMPLETED,1,4,26
308,True,9.0,COMPLETED,1,4,3
309,False,,DNS,1,4,27
310,True,17.0,COMPLETED,1,7,27
311,True,5.0,COMPLETED,1,12,1
312,True,4.0,COMPLETED,1,12,2
313,True,17.0,COMPLETED,1,13,19
314,False,2.0,COMPLETED,3,12,1
315,False,2.0,COMPLETED,3,12,2
316,True,4.0,COMPLETED,1,10,15
317,False,,DNS,1,10,14
318,True,9.0,COMPLETED,1,8,4
319,True,9.0,COMPLETED,1,8,54
320,True,17.0,COMPLETED,1,16,4
321,True,61.0,COMPLETED,1,4,1
322,True,9.0,COMPLETED,1,4,2
323,True,3.0,COMPLETED,2,12,1
324,False,,COMPLETED,1,12,55
325,False,,DNS,1,12,56
326,False,,DNS,1,12,57
327,False,,DNS,1,12,58
328,True,5.0,COMPLETED,1,5,32
329,True,5.0,COMPLETED,1,3,32
330,True,5.0,COMPLETED,1,5,31
331,True,9.0,COMPLETED,1,3,31
332,True,11.0,COMPLETED,1,14,32
333,True,9.0,COMPLETED,1,5,24
334,True,25.0,COMPLETED,1,14,5
335,False,8.0,COMPLETED,1,14,32
336,True,9.0,COMPLETED,1,5,31
337,False,4.0,COMPLETED,1,6,32
338,True,9.0,COMPLETED,1,7,32
339,True,17.0,COMPLETED,1,3,26
340,True,9.0,COMPLETED,1,3,27
341,True,17.0,COMPLETED,1,5,28
342,True,9.0,COMPLETED,1,6,31
343,True,17.0,COMPLETED,1,8,31
344,True,33.0,COMPLETED,1,16,31
345,False,4.0,COMPLETED,1,14,4
346,True,9.0,COMPLETED,1,14,2
347,True,17.0,COMPLETED,1,6,2
348,False,2.0,COMPLETED,3,4,59
349,False,,DNS,1,5,2
350,False,,COMPLETED,1,12,60
351,False,6.0,COMPLETED,1,12,61
352,False,,COMPLETED,1,12,62
353,True,4.0,COMPLETED,1,12,63
354,False,,COMPLETED,1,12,64
355,False,,DNS,1,12,65
356,False,,DNS,1,12,66
357,False,,DNS,1,12,67
358,True,15.0,COMPLETED,1,1,2
359,True,49.0,COMPLETED,1,3,31
360,True,49.0,COMPLETED,1,6,31
361,True,17.0,COMPLETED,1,6,27
362,True,17.0,COMPLETED,1,5,32
363,False,,DNF,1,13,68
364,False,17.0,COMPLETED,1,13,69
365,True,5.0,COMPLETED,1,3,29
366,True,5.0,COMPLETED,1,3,28
367,True,5.0,COMPLETED,1,6,29
368,True,5.0,COMPLETED,1,5,33
369,False,1.0,COMPLETED,4,5,33
370,False,3.0,COMPLETED,2,3,33
371,False,2.0,COMPLETED,3,6,29
372,False,2.0,COMPLETED,3,3,33
373,True,5.0,COMPLETED,1,6,33
374,False,2.0,COMPLETED,3,7,33
375,True,5.0,COMPLETED,1,7,28
376,False,3.0,COMPLETED,2,3,34
377,False,2.0,COMPLETED,3,5,34
378,False,4.0,COMPLETED,1,3,24
379,True,17.0,COMPLETED,1,7,34
380,False,1.0,COMPLETED,4,5,24
381,True,5.0,COMPLETED,1,3,24
382,False,3.0,COMPLETED,2,7,34
383,False,4.0,COMPLETED,1,8,29
384,True,5.0,COMPLETED,1,5,34
