ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
191467,27,89717,1386,107
191468,20,89718,1386,107
191469,24,89718,1384,107
191470,27,89719,1386,107
191471,31,89719,1384,107
191472,23,89720,1386,107
191473,26,89721,1386,107
191474,28,89722,1386,107
191475,20,89723,1386,107
191476,28,89723,92173,107
191477,25,89724,1386,107
191478,31,89725,1386,107
191479,33,89726,1386,107
191480,24,89727,1386,107
191481,22,89728,1386,107
191482,22,89729,1386,107
191483,23,89730,92174,217
191484,22,89731,92174,217
191485,37,89732,92174,217
191486,20,89733,92174,217
191487,30,89734,92174,217
191488,21,89735,92174,217
191489,23,89736,92174,217
191490,27,89737,92174,217
191491,21,89738,92174,217
191492,25,89739,92174,217
191493,28,89740,92174,217
191494,27,89741,92174,217
191495,30,89742,92174,217
191496,26,89743,92174,217
191497,30,89744,92174,217
191498,23,89745,92174,217
191499,22,89746,92174,217
191500,26,89747,92174,217
191501,22,89748,92174,217
191502,22,89749,92174,217
191503,23,89750,92174,217
191504,29,89751,92174,217
191505,31,89752,92174,217
191506,27,89753,92174,217
191507,25,89754,81441,172
191508,29,89755,81441,172
191509,24,89756,3300,6
191510,28,89756,3307,6
191511,32,89756,92175,6
191512,26,89757,3300,6
191513,29,89758,3300,6
191514,24,89759,3300,6
191515,29,89760,3300,6
191516,33,89760,3307,6
191517,22,89761,3300,6
191518,26,89761,3307,6
191519,25,89762,3282,13
191520,33,89762,92176,13
191521,27,89763,3282,13
191522,31,89763,3321,13
191523,34,89764,3282,13
191524,27,89765,3282,13
191525,31,89765,3321,13
191526,26,89766,3282,13
191527,30,89766,3321,13
191528,28,89767,92177,37
191529,29,89768,92177,37
191530,26,89769,92177,37
191531,26,89770,92177,37
191532,28,89771,92177,37
191533,24,89772,92177,37
191534,24,89773,92177,37
191535,24,89774,92177,37
191536,28,89775,92177,37
191537,26,89776,92177,37
191538,26,89777,92177,37
191539,27,89778,92177,37
191540,25,89779,2617,42
191541,29,89779,3230,42
191542,27,89780,2617,42
191543,20,89782,2617,42
191544,24,89782,3230,42
191545,28,89782,3327,42
191546,27,89783,2617,42
191547,31,89783,3230,42
191548,30,89784,3322,66
191549,24,89785,3322,66
191550,28,89785,92178,66
191551,27,89786,3322,66
191552,25,89787,3322,66
191553,29,89787,92178,66
191554,23,89788,3322,66
191555,27,89788,92178,66
191556,31,89788,92179,66
191557,24,89789,3322,66
191558,28,89789,92178,66
191559,32,89789,92179,66
191560,20,89790,3322,66
191561,28,89790,92179,66
191562,20,89791,3322,66
191563,24,89791,92178,66
191564,28,89791,92179,66
191565,32,89791,92180,66
191566,36,89791,92181,66
191567,29,89792,3322,66
191568,30,89793,3322,66
191569,37,89794,3322,66
191570,32,89795,81508,72
191571,28,89796,81508,72
191572,28,89797,81508,72
191573,27,89798,81508,72
191574,21,89799,81525,72
191575,33,89799,92182,72
191576,27,89800,81525,72
191577,26,89801,81525,72
191578,29,89802,81525,72
191579,24,89803,81525,72
191580,26,89804,81525,72
191581,31,89805,81525,72
191582,26,89806,81525,72
191583,30,89807,81525,72
191584,25,89808,3149,112
191585,21,89809,3149,112
191586,25,89809,3162,112
191587,23,89810,3149,112
191588,21,89811,3149,112
191589,25,89811,3162,112
191590,29,89811,3150,112
191591,27,89812,3149,112
191592,26,89813,3149,112
191593,27,89814,92183,154
191594,31,89814,92184,154
191595,25,89815,92183,154
191596,25,89816,92183,154
191597,29,89816,92184,154
191598,26,89817,92183,154
191599,30,89817,92184,154
191600,31,89818,92183,154
191601,26,89819,92183,154
191602,30,89819,92184,154
191603,24,89820,92183,154
191604,28,89820,92184,154
191605,24,89821,92183,154
