ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
908,,325,455,18
909,,325,456,18
910,29,326,467,18
911,,327,468,18
912,,327,469,18
913,,327,455,18
914,,327,456,18
915,31,328,470,18
916,31,328,463,18
917,,329,448,18
918,,329,449,18
919,,329,450,18
920,31,330,471,18
921,31,330,472,18
922,31,330,455,18
923,31,330,456,18
924,,331,473,18
925,,331,474,18
926,,331,455,18
927,,331,456,18
928,31,332,475,18
929,35,332,476,18
930,34,333,477,18
931,34,333,478,18
932,34,333,479,18
933,34,333,480,18
934,34,333,481,18
935,54,333,482,18
936,54,333,483,18
937,54,333,484,18
938,54,333,448,18
939,54,333,449,18
940,54,333,450,18
941,,334,485,18
942,,334,486,18
943,,334,455,18
944,,334,456,18
945,,335,448,18
946,,335,449,18
947,,335,450,18
948,25,336,487,18
949,25,336,463,18
950,29,336,488,18
951,33,336,489,18
952,25,337,490,18
953,18,338,491,19
954,21,339,492,19
955,17,340,493,19
956,18,341,494,19
957,18,341,495,19
958,17,342,496,19
959,17,342,495,19
960,19,343,497,19
961,19,343,495,19
962,22,344,498,19
963,34,345,499,19
964,38,345,500,19
965,38,345,501,19
966,21,346,502,19
967,21,346,503,19
968,25,346,504,19
969,29,346,505,19
970,33,347,506,19
971,20,348,507,19
972,20,348,503,19
973,29,349,508,19
974,29,349,501,19
975,37,350,509,19
976,37,351,510,19
977,37,351,501,19
978,41,351,511,19
979,41,351,503,19
980,22,352,512,20
981,30,353,513,20
982,34,353,514,20
983,46,354,515,21
984,38,355,516,21
985,25,356,517,21
986,29,356,518,21
987,33,356,519,21
988,37,356,520,21
989,32,357,521,21
990,20,358,522,22
991,36,359,523,22
992,30,360,524,22
993,25,361,525,22
994,21,362,526,23
995,29,362,527,23
996,30,363,528,23
997,23,364,529,23
998,29,365,530,23
999,26,366,531,23
1000,34,366,532,23
1001,38,367,533,23
1002,59,368,534,23
1003,18,369,535,23
1004,18,369,536,23
1005,26,370,537,23
1006,26,370,538,23
1007,31,371,539,23
1008,31,371,538,23
1009,38,372,540,23
1010,41,373,541,23
1011,40,374,542,23
1012,19,375,543,23
1013,23,376,544,23
1014,23,376,538,23
1015,27,377,545,23
1016,39,378,546,23
1017,39,378,536,23
1018,43,378,547,23
1019,43,378,548,23
1020,39,379,549,23
1021,39,379,536,23
1022,23,380,550,23
1023,23,380,548,23
1024,27,380,551,23
1025,24,381,552,23
1026,24,381,548,23
1027,19,382,553,24
1028,19,382,554,24
1029,23,382,555,24
1030,23,382,556,24
1031,27,382,557,24
1032,27,382,558,24
1033,18,383,559,24
1034,24,384,560,24
1035,24,384,561,24
1036,28,384,562,24
1037,28,384,563,24
1038,18,385,564,24
1039,18,385,561,24
1040,27,386,565,24
1041,27,386,563,24
1042,24,387,566,24
1043,19,388,567,24
1044,19,388,563,24
1045,23,388,568,24
1046,23,388,554,24
1047,20,389,569,24
1048,17,390,570,24
1049,17,390,554,24
1050,21,390,571,24
1051,21,390,556,24
1052,21,391,572,24
1053,21,391,561,24
1054,26,392,573,24
1055,26,392,574,24
1056,26,393,575,24
1057,20,394,576,24
1058,20,394,577,24
1059,28,394,578,24
1060,28,394,579,24
1061,24,395,580,24
1062,24,395,577,24
1063,19,396,581,24
1064,19,396,577,24
1065,22,397,582,24
1066,22,397,574,24
1067,24,398,583,24
1068,24,398,584,24
1069,33,399,585,24
1070,33,399,574,24
1071,24,400,586,24
1072,24,400,584,24
1073,19,401,587,24
1074,19,401,584,24
1075,23,401,588,24
1076,23,401,579,24
1077,23,402,589,24
1078,21,403,590,24
1079,32,404,591,25
1080,22,405,592,25
1081,40,406,593,26
1082,31,407,594,26
1083,41,408,595,26
1084,32,409,596,26
1085,36,409,597,26
1086,26,410,598,27
1087,48,411,599,28
1088,46,412,600,28
1089,41,413,601,28
1090,30,414,602,28
1091,34,414,603,28
1092,25,415,604,28
1093,25,415,605,28
1094,23,416,606,28
1095,23,416,605,28
1096,27,416,607,28
1097,27,416,608,28
1098,19,417,609,28
1099,19,417,608,28
1100,20,418,610,28
1101,20,418,605,28
1102,24,418,611,28
1103,24,418,608,28
1104,43,419,612,29
1105,29,420,613,29
1106,18,421,614,29
1107,42,422,615,29
1108,27,423,616,29
1109,20,424,617,29
1110,20,424,618,29
1111,24,424,619,29
1112,24,424,620,29
1113,48,425,621,29
1114,48,425,618,29
1115,26,426,622,29
1116,26,426,620,29
1117,37,427,623,29
1118,38,428,624,29
1119,37,429,625,29
1120,33,430,626,29
1121,19,431,627,29
1122,27,431,628,29
1123,27,431,618,29
1124,31,431,629,29
1125,31,431,620,29
1126,35,431,630,29
1127,22,432,631,30
1128,26,432,632,30
1129,21,433,633,31
1130,21,433,634,31
1131,33,434,635,31
1132,28,435,636,31
1133,32,435,637,31
1134,36,435,638,31
1135,36,435,634,31
1136,25,436,639,31
1137,25,436,634,31
1138,27,437,640,31
1139,22,438,641,31
1140,22,438,642,31
1141,26,438,643,31
1142,26,438,644,31
1143,32,439,645,31
1144,20,440,646,31
1145,20,440,644,31
1146,24,440,647,31
1147,24,440,648,31
1148,28,440,649,31
1149,25,441,650,31
1150,27,442,651,31
1151,31,442,652,31
1152,35,442,653,31
1153,39,442,654,31
1154,19,443,655,31
1155,23,443,656,31
1156,27,443,657,31
1157,27,443,642,31
1158,31,443,658,31
1159,31,443,644,31
1160,35,443,659,31
1161,35,443,648,31
1162,36,444,660,31
1163,29,445,661,31
1164,25,446,662,31
1165,25,446,648,31
1166,37,447,663,31
1167,37,447,642,31
1168,36,448,664,1
1169,36,448,665,1
1170,20,449,666,1
1171,20,449,667,1
1172,24,449,668,1
1173,36,450,669,1
1174,39,451,670,1
1175,22,452,612,1
1176,22,452,667,1
1177,19,453,671,1
1178,19,453,665,1
1179,23,453,672,1
1180,23,453,667,1
1181,32,454,673,1
1182,32,454,665,1
1183,27,455,674,1
1184,,456,675,1
1185,,457,676,1
1186,,457,677,1
1187,,457,678,1
1188,,458,679,1
1189,,458,680,1
1190,45,459,681,1
1191,45,459,682,1
1192,45,459,683,1
1193,45,459,684,1
1194,45,459,685,1
1195,42,460,686,1
1196,42,460,687,1
1197,25,461,688,1
1198,,462,689,1
1199,,462,690,1
1200,,463,691,1
1201,,464,692,1
1202,32,465,693,1
1203,29,466,694,1
1204,62,467,683,1
1205,62,467,684,1
